fix_x,fix_y,timestamp
469,745,2025-06-02 15:23:11.293321
660,320,2025-06-02 15:23:15.307936
859,905,2025-06-02 15:23:18.527165
247,556,2025-06-02 15:24:19.462686
1162,870,2025-06-02 15:24:23.879617
438,756,2025-06-02 15:25:28.083930
415,738,2025-06-02 15:28:24.154202
584,329,2025-06-02 15:30:53.819523
910,887,2025-06-02 15:31:05.827837
887,874,2025-06-02 15:31:06.627504
1185,414,2025-06-02 15:31:11.090252
1187,435,2025-06-02 15:31:13.105000
456,391,2025-06-02 15:31:14.753489
1252,664,2025-06-02 15:31:16.702471
917,885,2025-06-02 15:31:19.112799
846,523,2025-06-02 15:31:50.393688
279,305,2025-06-02 15:31:51.458200
630,711,2025-06-02 15:31:57.288381
456,279,2025-06-02 15:32:09.343320
1109,710,2025-06-02 15:32:11.142854
525,508,2025-06-02 15:32:14.191255
1143,289,2025-06-02 15:32:57.306495
1116,287,2025-06-02 15:32:58.240247
278,349,2025-06-02 15:33:00.052085
1118,846,2025-06-02 15:33:02.003342
742,836,2025-06-02 15:33:33.111660
378,448,2025-06-02 15:33:34.594061
1071,774,2025-06-02 15:33:36.609713
845,420,2025-06-02 15:34:12.514487
966,830,2025-06-02 15:34:14.030745
943,347,2025-06-02 15:34:16.628068
355,467,2025-06-02 15:34:18.352691
786,675,2025-06-02 15:34:19.857682
464,600,2025-06-02 15:34:21.591048
903,852,2025-06-02 15:34:24.675524
739,279,2025-06-02 15:34:27.258957
582,500,2025-06-02 15:34:30.761825
901,289,2025-06-02 15:34:31.983873
1287,716,2025-06-02 15:34:33.338007
746,504,2025-06-02 15:34:35.246708
693,259,2025-06-02 15:34:38.044318
918,796,2025-06-02 15:35:30.886842
929,303,2025-06-02 15:35:34.387195
1297,297,2025-06-02 15:35:37.081386
343,375,2025-06-02 15:35:38.562085
1227,450,2025-06-02 15:35:39.949400
302,488,2025-06-02 15:35:41.446973
516,720,2025-06-02 15:35:42.561213
651,444,2025-06-02 15:36:12.695904
270,506,2025-06-02 15:36:50.242728
1194,397,2025-06-02 15:36:58.402318
232,410,2025-06-02 15:37:22.749183
1102,484,2025-06-02 15:37:28.360902
282,626,2025-06-02 15:37:36.504968
965,391,2025-06-02 15:37:38.271129
1075,213,2025-06-02 15:38:53.642664
1356,408,2025-06-02 15:38:59.623687
1301,250,2025-06-02 15:39:06.368786
953,284,2025-06-02 15:39:08.400560
1060,320,2025-06-02 15:39:16.708565
1167,318,2025-06-02 15:39:19.109086
1149,442,2025-06-02 15:39:25.920044
326,440,2025-06-02 15:39:27.419273
1137,441,2025-06-02 15:39:29.033851
274,326,2025-06-02 15:39:34.496199
953,443,2025-06-02 15:40:10.180309
1138,462,2025-06-02 15:40:28.108477
1671,102,2025-06-02 15:40:40.370922
1699,156,2025-06-02 15:40:53.517132
223,289,2025-06-02 15:51:26.089639
233,195,2025-06-02 15:51:29.769650
880,810,2025-06-02 15:51:34.903547
250,237,2025-06-02 15:51:38.047509
1308,182,2025-06-02 15:52:22.693328
811,450,2025-06-02 15:52:25.941458
577,502,2025-06-02 15:52:44.212015
588,116,2025-06-02 15:52:50.240042
178,201,2025-06-02 15:52:55.505395
884,903,2025-06-02 15:54:34.491900
262,308,2025-06-02 15:54:37.375568
340,190,2025-06-02 15:58:18.084762
162,652,2025-06-02 15:59:21.450726
865,326,2025-06-02 15:59:23.566457
1280,290,2025-06-02 15:59:27.514734
256,302,2025-06-02 15:59:29.378061
974,218,2025-06-02 15:59:32.839984
1313,289,2025-06-02 16:02:32.933261
1362,868,2025-06-02 16:03:44.272086
752,218,2025-06-02 16:03:45.775100
1193,233,2025-06-02 16:03:48.226226
886,779,2025-06-02 16:30:42.723118
1319,919,2025-06-02 16:30:51.920588
911,286,2025-06-02 16:30:55.084164
1090,880,2025-06-02 16:30:56.667242
1000,923,2025-06-02 16:31:09.487528
