mouse_x,mouse_y,timestamp
1213,777,2025-06-02 15:23:10.781339
1121,975,2025-06-02 15:24:13.758278
1181,978,2025-06-02 15:25:27.580919
1094,975,2025-06-02 15:28:13.163724
936,620,2025-06-02 15:30:30.447675
948,942,2025-06-02 15:31:02.219182
948,943,2025-06-02 15:31:02.362762
953,953,2025-06-02 15:31:18.532902
960,970,2025-06-02 15:31:18.680845
969,984,2025-06-02 15:31:18.829659
972,985,2025-06-02 15:31:18.967032
973,985,2025-06-02 15:31:19.112799
983,978,2025-06-02 15:31:19.263512
985,977,2025-06-02 15:31:19.402976
1079,970,2025-06-02 15:31:48.413102
1067,981,2025-06-02 15:32:47.329221
1157,975,2025-06-02 15:33:27.315889
1080,984,2025-06-02 15:34:05.451911
1087,978,2025-06-02 15:35:28.654946
1077,973,2025-06-02 15:36:12.192282
1096,970,2025-06-02 15:36:46.551431
1095,967,2025-06-02 15:37:19.988034
1074,969,2025-06-02 15:38:48.600943
1077,978,2025-06-02 15:51:22.590967
1128,986,2025-06-02 15:52:18.715033
1097,825,2025-06-02 15:54:23.429785
1125,962,2025-06-02 15:58:14.667467
1118,984,2025-06-02 15:59:19.996552
1113,939,2025-06-02 16:02:26.791030
1124,977,2025-06-02 16:03:41.130939
975,953,2025-06-02 16:30:41.245128
